SITESEQ,SITECODE,SITE,UTM_E,UTM_N,LAT,LONG
70615,NA,NA,411226.97767973,4851962.13342989,43.8154,-70.10383333
70672,CBBBBB,BACK BAY,398444.76070503,4836606.54952276,43.67552778,-70.25983333
70674,CBFROR,FORE RIVER OUTER,398793.1817986,4833135.94264882,43.64433333,-70.25486111
70675,CBGDCC,COCKTAIL COVE GREAT DIAMOND ISLAND,403913.11434179,4837479.22327017,43.68411111,-70.19216667
70676,CBGDSW,SOUTHWEST END GREAT DIAMOND ISLAND,404062.51194057,4836810.56416148,43.67811111,-70.19019445
70677,CBHWNP,NAVY PIER,418446.55298877,4848718.11771121,43.78702778,-70.01358333
70678,CBMCMC,MILL CREEK,401566.90899967,4841472.38518317,43.71975,-70.222
70679,CBRYMT,ROYAL RIVER MOUTH,407753.36738362,4849928.36092123,43.79666667,-70.14666667
76071,CBHRHR,HARASEEKET RIVER,411578.16815411,4852437.43623482,43.81972083,-70.09954583
76073,CBANAN,FALMOUTH ANCHORAGE,402901.14132627,4842728.96108599,43.7312375,-70.20566667
76076,CBMBBH,BRUNSWICK MARE BROOK DRAINAGE,424162.08950919,4854574.05101681,43.840354,-69.943387
76079,CBFRMR,MIDDLE FORE RIVER,398479.02136177,4832707.92076277,43.6404375,-70.258675
76080,CBEEEE,EAST END BEACH,400301.87272975,4835927.97136297,43.66967083,-70.236675
76084,CBSPSP,S PORTLAND SPRING POINT,401120.78508984,4833798.68813855,43.6506125,-70.22612917
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,412240.30637495,4837567.13774647,43.68593333,-70.08888333
77495,CBPRMT,PRESUMPSCOT RIVER (MOUTH) ,399498.11894842,4838470.49079622,43.69245,-70.24711667
77497,CBMBMB,MIDDLE BAY (OUTER),415192.49370116,4846380.35643806,43.76561667,-70.05365
82251,CBMBBR,MAQUOIT BAY,414366.2615,4851141.6697,43.80838431,-70.06467398
82256,CBFRIR,INNER FORE RIVER,395752.1442,4833377.94,43.64609166,-70.29260427
82261,CBQHQH,QUAHOG BAY,425327.3799,4849546.6443,43.7952131,-69.92819231
82266,CBLNFT,LONG ISLAND,406422.399,4838411.008,43.69282,-70.161202
90135,NA,NA,421004.551,4843356.869,43.73904,-69.981007
90136,NA,NA,402858.666,4830890.774,43.624664,-70.204061
90137,NA,NA,422885.91,4842843.888,43.73462,-69.957573
90139,NA,NA,413231.684,4838983.956,43.698805,-70.076813
90140,NA,NA,406231.37,4840552.151,43.71207,-70.163945
116868,NA,NA,424135.29011361,4851783.02080386,43.81522499,-69.943325
127173,NA,NA,399599.4995,4839119.9436,43.69831,-70.24598
127174,NA,NA,398952.7954,4839366.3111,43.70044,-70.25405
