site_seq,sitecode,site,year,sample_date,sample_id,code,samp_pt_name,lab,lab_id,method,method_name,parameter,concentration,units,lab_qualifier,qualifier,qual_description,rl,mdl,prep_method,dilution_factor,cas_no,conc_ugg,rl_ugg,flag,conc_RL,conc_HALF,conc_ML
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 1,CBJWPB_REP_1_2007_2,REP 1,"BROOKS APPLIED LABS - SEATTLE, WA",0806020-41,E1638,EPA: DETERMINATION OF TRACE ELEMENTS IN AMBIENT WATERS BY INDUCTIVELY COUPLED PLASMA-MASS SPECTROMETRY EPA/821/R-96-005 -JANUARY 1996,ARSENIC,13.5102533172497,MG/KG,NA,NA,NA,1.74909529553679,0.60313630880579,NA,1,7440382,13.5102533172497,1.74909529553679,FALSE,13.5102533172497,13.5102533172497,13.5102533172497
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 1,CBJWPB_REP_1_2007_2,REP 1,"BROOKS APPLIED LABS - SEATTLE, WA",0806020-41,E1638,EPA: DETERMINATION OF TRACE ELEMENTS IN AMBIENT WATERS BY INDUCTIVELY COUPLED PLASMA-MASS SPECTROMETRY EPA/821/R-96-005 -JANUARY 1996,CADMIUM,2.35826296743064,MG/KG,NA,NA,NA,0.0663449939686369,0.0241254523522316,NA,1,7440439,2.35826296743064,0.0663449939686369,FALSE,2.35826296743064,2.35826296743064,2.35826296743064
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 1,CBJWPB_REP_1_2007_2,REP 1,"BROOKS APPLIED LABS - SEATTLE, WA",0806020-41,E1638,EPA: DETERMINATION OF TRACE ELEMENTS IN AMBIENT WATERS BY INDUCTIVELY COUPLED PLASMA-MASS SPECTROMETRY EPA/821/R-96-005 -JANUARY 1996,LEAD,1.04342581423402,MG/KG,NA,NA,NA,0.2291917973462,0.0482509047044632,NA,1,7439921,1.04342581423402,0.2291917973462,FALSE,1.04342581423402,1.04342581423402,1.04342581423402
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 2,CBJWPB_REP_2_2007_2,REP 2,"BROOKS APPLIED LABS - SEATTLE, WA",0806020-42RE4,E1638,EPA: DETERMINATION OF TRACE ELEMENTS IN AMBIENT WATERS BY INDUCTIVELY COUPLED PLASMA-MASS SPECTROMETRY EPA/821/R-96-005 -JANUARY 1996,SELENIUM,4.4456641053787,MG/KG,NA,NA,NA,0.713501646542261,0.21953896816685,NA,1,7782492,4.4456641053787,0.713501646542261,FALSE,4.4456641053787,4.4456641053787,4.4456641053787
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 2,CBJWPB_REP_2_2007_2,REP 2,"BROOKS APPLIED LABS - SEATTLE, WA",0806020-42RE4,E1638,EPA: DETERMINATION OF TRACE ELEMENTS IN AMBIENT WATERS BY INDUCTIVELY COUPLED PLASMA-MASS SPECTROMETRY EPA/821/R-96-005 -JANUARY 1996,ZINC,85.0713501646542,MG/KG,NA,NA,NA,4.28100987925357,1.48188803512623,NA,1,7440666,85.0713501646542,4.28100987925357,FALSE,85.0713501646542,85.0713501646542,85.0713501646542
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 2,CBJWPB_REP_2_2007_2,REP 2,"BROOKS APPLIED LABS - SEATTLE, WA",0806020-42RE5,E1638,EPA: DETERMINATION OF TRACE ELEMENTS IN AMBIENT WATERS BY INDUCTIVELY COUPLED PLASMA-MASS SPECTROMETRY EPA/821/R-96-005 -JANUARY 1996,CHROMIUM,3.84193194291987,MG/KG,NA,NA,NA,1.09769484083425,0.384193194291987,NA,1,7440473,3.84193194291987,1.09769484083425,FALSE,3.84193194291987,3.84193194291987,3.84193194291987
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 1,CBJWPB_REP_1_2007_2,REP 1,"BROOKS APPLIED LABS - SEATTLE, WA",0806020-41RE4,E1638,EPA: DETERMINATION OF TRACE ELEMENTS IN AMBIENT WATERS BY INDUCTIVELY COUPLED PLASMA-MASS SPECTROMETRY EPA/821/R-96-005 -JANUARY 1996,ALUMINUM,31.2424607961399,MG/KG,NA,NA,NA,14.475271411339,4.82509047044632,NA,1,7429905,31.2424607961399,14.475271411339,FALSE,31.2424607961399,31.2424607961399,31.2424607961399
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 1,CBJWPB_REP_1_2007_2,REP 1,"BROOKS APPLIED LABS - SEATTLE, WA",0806020-41RE4,E1638,EPA: DETERMINATION OF TRACE ELEMENTS IN AMBIENT WATERS BY INDUCTIVELY COUPLED PLASMA-MASS SPECTROMETRY EPA/821/R-96-005 -JANUARY 1996,COPPER,6.0313630880579,MG/KG,NA,NA,NA,0.965018094089264,0.241254523522316,NA,1,7440508,6.0313630880579,0.965018094089264,FALSE,6.0313630880579,6.0313630880579,6.0313630880579
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 1,CBJWPB_REP_1_2007_2,REP 1,"BROOKS APPLIED LABS - SEATTLE, WA",0806020-41RE4,E1638,EPA: DETERMINATION OF TRACE ELEMENTS IN AMBIENT WATERS BY INDUCTIVELY COUPLED PLASMA-MASS SPECTROMETRY EPA/821/R-96-005 -JANUARY 1996,IRON,156.2123039807,MG/KG,NA,NA,NA,30.1568154402895,9.04704463208685,NA,1,7439896,156.2123039807,30.1568154402895,FALSE,156.2123039807,156.2123039807,156.2123039807
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 1,CBJWPB_REP_1_2007_2,REP 1,"BROOKS APPLIED LABS - SEATTLE, WA",0806020-41RE4,E1638,EPA: DETERMINATION OF TRACE ELEMENTS IN AMBIENT WATERS BY INDUCTIVELY COUPLED PLASMA-MASS SPECTROMETRY EPA/821/R-96-005 -JANUARY 1996,SELENIUM,5.60916767189385,MG/KG,NA,NA,NA,0.784077201447527,0.241254523522316,NA,1,7782492,5.60916767189385,0.784077201447527,FALSE,5.60916767189385,5.60916767189385,5.60916767189385
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 1,CBJWPB_REP_1_2007_2,REP 1,"BROOKS APPLIED LABS - SEATTLE, WA",0806020-41RE4,E1638,EPA: DETERMINATION OF TRACE ELEMENTS IN AMBIENT WATERS BY INDUCTIVELY COUPLED PLASMA-MASS SPECTROMETRY EPA/821/R-96-005 -JANUARY 1996,ZINC,89.264173703257,MG/KG,NA,NA,NA,4.82509047044632,1.68878166465621,NA,1,7440666,89.264173703257,4.82509047044632,FALSE,89.264173703257,89.264173703257,89.264173703257
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 1,CBJWPB_REP_1_2007_2,REP 1,"BROOKS APPLIED LABS - SEATTLE, WA",0806020-41,E1638,EPA: DETERMINATION OF TRACE ELEMENTS IN AMBIENT WATERS BY INDUCTIVELY COUPLED PLASMA-MASS SPECTROMETRY EPA/821/R-96-005 -JANUARY 1996,SILVER,NA,MG/KG,U,NA,NOT DETECTED ABOVE THE ASSOCIATED QUANTITATION LIMIT,0.572979493365501,0.060313630880579,NA,1,7440224,NA,0.572979493365501,TRUE,0.572979493365501,0.2864897466827505,0.2257889678891992
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 1,CBJWPB_REP_1_2007_2,REP 1,"BROOKS APPLIED LABS - SEATTLE, WA",0806020-41RE1,E1631,"EPA: MERCURY IN WATER BY OXIDATION, PURGE AND TRAP, AND COLD VAPOR ATOMIC FLUORESCENCE SPECTROMETRY - JANUARY 1996",MERCURY,144.75271411339,UG/KG,NA,NA,NA,18.9384800965018,6.27261761158022,NA,3,7439976,0.14475271411339,0.0189384800965018,FALSE,0.14475271411339,0.14475271411339,0.14475271411339
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 1,CBJWPB_REP_1_2007_2,REP 1,"BROOKS APPLIED LABS - SEATTLE, WA",0806020-41RE5,E1638,EPA: DETERMINATION OF TRACE ELEMENTS IN AMBIENT WATERS BY INDUCTIVELY COUPLED PLASMA-MASS SPECTROMETRY EPA/821/R-96-005 -JANUARY 1996,CHROMIUM,4.58383594692401,MG/KG,NA,NA,NA,1.20627261761158,0.422195416164053,NA,1,7440473,4.58383594692401,1.20627261761158,FALSE,4.58383594692401,4.58383594692401,4.58383594692401
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 1,CBJWPB_REP_1_2007_2,REP 1,"BROOKS APPLIED LABS - SEATTLE, WA",0806020-41RE5,E1638,EPA: DETERMINATION OF TRACE ELEMENTS IN AMBIENT WATERS BY INDUCTIVELY COUPLED PLASMA-MASS SPECTROMETRY EPA/821/R-96-005 -JANUARY 1996,NICKEL,0.904704463208685,MG/KG,B,NA,COMPOUND IS FOUND IN THE ASSOCIATED METHOD BLANK (ORGANIC) OR THE REPORTED VALUE WAS LESS THAN THE REPORTING LIMIT BUT GREATER THAN OR EQUAL TO THE IDL. (INORGANIC),1.20627261761158,0.361881785283474,NA,1,7440020,0.904704463208685,1.20627261761158,FALSE,0.904704463208685,0.904704463208685,0.904704463208685
