site_seq,sitecode,site,year,sample_date,sample_id,code,samp_pt_name,lab,lab_id,method,method_name,parameter,concentration,units,lab_qualifier,qualifier,qual_description,rl,mdl,prep_method,dilution_factor,cas_no,conc_ugg,conc_ngg,rl_ugg,rl_ngg
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 1,CBJWPB_REP_1_2007_2,REP 1,AXYS ANALYTICAL SERVICES,L10702-41 L,SW8270CM,SW846: MODIFIED - SEMIVOLATILE ORGANIC COMPOUNDS BY GAS CHROMATOGRAPHY/MASS SPECTROMETRY (GC/MS) (CAPILLARY COLUMN TECHNIQUE),TOTAL PAH19-H,25.151,NG/G,NA,NA,NA,NA,NA,NA,NA,DEP14287,0.025151,25.151,NA,NA
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 1,CBJWPB_REP_1_2007_2,REP 1,AXYS ANALYTICAL SERVICES,L10702-41,MLA-007-E2,AXYS INTERNAL METHOD FOR PESTICIDES,TOTAL PESTICIDES21-H,5.2659,NG/G,NA,NA,NA,NA,NA,NA,NA,DEP14296,0.0052659000000000004,5.2659,NA,NA
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 2,CBJWPB_REP_2_2007_2,REP 2,AXYS ANALYTICAL SERVICES,L10702-42,MLA-007-E2,AXYS INTERNAL METHOD FOR PESTICIDES,TOTAL PESTICIDES21-H,5.57525,NG/G,NA,NA,NA,NA,NA,NA,NA,DEP14296,0.0055752499999999995,5.57525,NA,NA
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 2,CBJWPB_REP_2_2007_2,REP 2,AXYS ANALYTICAL SERVICES,L10702-42 L,SW8270CM,SW846: MODIFIED - SEMIVOLATILE ORGANIC COMPOUNDS BY GAS CHROMATOGRAPHY/MASS SPECTROMETRY (GC/MS) (CAPILLARY COLUMN TECHNIQUE),TOTAL PAH19-H,26.252,NG/G,NA,NA,NA,NA,NA,NA,NA,DEP14287,0.026252,26.252,NA,NA
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 1,CBJWPB_REP_1_2007_2,REP 1,AXYS ANALYTICAL SERVICES,L10702-41,E1668A,"EPA: CHLORINATED BIPHENYL CONGENERS IN WATER, SOIL, SEDIMENT, AND TISSUE BY HRGC/HRMS",PCB TOTAL TEQ (ND=1/2 DL),0.533,PG/G,NA,NA,NA,NA,NA,E1668A,1,DEP14138,5.33e-7,5.33e-4,NA,NA
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 1,CBJWPB_REP_1_2007_2,REP 1,AXYS ANALYTICAL SERVICES,L10702-41,E1668A,"EPA: CHLORINATED BIPHENYL CONGENERS IN WATER, SOIL, SEDIMENT, AND TISSUE BY HRGC/HRMS",TOTAL PCB-H,13776.1675,PG/G,NA,NA,NA,NA,NA,NA,NA,DEP14151,0.013776167499999999,13.7761675,NA,NA
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 2,CBJWPB_REP_2_2007_2,REP 2,AXYS ANALYTICAL SERVICES,L10702-42,E1668A,"EPA: CHLORINATED BIPHENYL CONGENERS IN WATER, SOIL, SEDIMENT, AND TISSUE BY HRGC/HRMS",PCB TOTAL TEQ (ND=1/2 DL),0.465,PG/G,NA,NA,NA,NA,NA,E1668A,1,DEP14138,4.65e-7,4.65e-4,NA,NA
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 2,CBJWPB_REP_2_2007_2,REP 2,AXYS ANALYTICAL SERVICES,L10702-42,E1668A,"EPA: CHLORINATED BIPHENYL CONGENERS IN WATER, SOIL, SEDIMENT, AND TISSUE BY HRGC/HRMS",TOTAL PCB-H,13367.371,PG/G,NA,NA,NA,NA,NA,NA,NA,DEP14151,0.013367371,13.367371,NA,NA
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 3,CBJWPB_REP_3_2007_2,REP 3,AXYS ANALYTICAL SERVICES,L10702-43,MLA-007-E2,AXYS INTERNAL METHOD FOR PESTICIDES,TOTAL PESTICIDES21-H,6.136,NG/G,NA,NA,NA,NA,NA,NA,NA,DEP14296,0.006136,6.136,NA,NA
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,2007,2007-10-22,CBJWPB REP 3,CBJWPB_REP_3_2007_2,REP 3,AXYS ANALYTICAL SERVICES,L10702-43 LI,SW8270CM,SW846: MODIFIED - SEMIVOLATILE ORGANIC COMPOUNDS BY GAS CHROMATOGRAPHY/MASS SPECTROMETRY (GC/MS) (CAPILLARY COLUMN TECHNIQUE),TOTAL PAH19-H,30.316,NG/G,NA,NA,NA,NA,NA,NA,NA,DEP14287,0.030316,30.316,NA,NA
