OBJECTID,SITESEQ,SITECODE,SITE,UTM_E,UTM_N,LAT,LONG_,RASTERVALU,pct_imperv
1,70672,CBBBBB,BACK BAY,398444.760705029999372,4836606.549522760324180,43.675527780000003,-70.259833330000006,94211,0.119953272069239
2,70674,CBFROR,FORE RIVER OUTER,398793.181798600009643,4833135.942648819647729,43.644333330000002,-70.254861109999993,131103,0.166925665029491
3,70675,CBGDCC,COCKTAIL COVE GREAT DIAMOND ISLAND,403913.114341789972968,4837479.223270170390606,43.684111110000003,-70.192166670000006,56715,0.072211841774388
4,70676,CBGDSW,SOUTHWEST END GREAT DIAMOND ISLAND,404062.511940570024308,4836810.564161480404437,43.678111110000003,-70.190194450000007,8613,0.010966421461744
5,70677,CBHWNP,NAVY PIER,418446.552988770010415,4848718.117711209692061,43.787027780000003,-70.013583330000003,95,0.000120957858919
6,70678,CBMCMC,MILL CREEK,401566.908999670005869,4841472.385183170437813,43.719749999999998,-70.221999999999994,51963,0.066161402347219
7,70679,CBRYMT,ROYAL RIVER MOUTH,407753.367383620003238,4849928.360921230167150,43.796666670000000,-70.146666670000002,12012,0.015294166329788
8,76071,CBHRHR,HARASEEKET RIVER,411578.168154110026080,4852437.436234819702804,43.819720830000001,-70.099545829999997,7072,0.009004357666023
9,76073,CBANAN,FALMOUTH ANCHORAGE,402901.141326270007994,4842728.961085990071297,43.731237499999999,-70.205666669999999,92105,0.117271827323107
10,76076,CBMBBH,BRUNSWICK MARE BROOK DRAINAGE,424162.089509190001991,4854574.051016810350120,43.840353999999998,-69.943387000000001,4419,0.005626450300644
11,76079,CBFRMR,MIDDLE FORE RIVER,398479.021361769991927,4832707.920762769877911,43.640437499999997,-70.258674999999997,199831,0.254432946374288
12,76080,CBEEEE,EAST END BEACH,400301.872729750000872,4835927.971362969838083,43.669670830000001,-70.236675000000005,16173,0.020592120550422
13,76084,CBSPSP,S PORTLAND SPRING POINT,401120.785089840006549,4833798.688138550147414,43.650612500000001,-70.226129169999993,105993,0.134954593056382
14,76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,412240.306374949985184,4837567.137746470049024,43.685933329999997,-70.088883330000002,109,0.000138783227601
15,77495,CBPRMT,PRESUMPSCOT RIVER (MOUTH) ,399498.118948419985827,4838470.490796219557524,43.692450000000001,-70.247116669999997,31831,0.040528522181443
16,77497,CBMBMB,MIDDLE BAY (OUTER),415192.493701160012279,4846380.356438060291111,43.765616670000000,-70.053650000000005,0,0.000000000000000
17,82251,CBMBBR,MAQUOIT BAY,414366.261500000022352,4851141.669700000435114,43.808384310000001,-70.064673979999995,7267,0.009252639586961
18,82256,CBFRIR,INNER FORE RIVER,395752.144199999980628,4833377.940000000409782,43.646091660000003,-70.292604269999998,48224,0.061400755668308
19,82261,CBQHQH,QUAHOG BAY,425327.379899999999907,4849546.644299999810755,43.795213099999998,-69.928192310000000,23124,0.029442416101401
20,82266,CBLNFT,LONG ISLAND,406422.398999999975786,4838411.008000000379980,43.692819999999998,-70.161202000000003,32205,0.041004714173396
