SITESEQ,SITECODE,SITE,UTM_E,UTM_N,LAT,LONG
70672,CBBBBB,BACK BAY,398444.76070503,4836606.54952276,43.67552778,-70.25983333
70674,CBFROR,FORE RIVER OUTER,398793.1817986,4833135.94264882,43.64433333,-70.25486111
70675,CBGDCC,COCKTAIL COVE GREAT DIAMOND ISLAND,403913.11434179,4837479.22327017,43.68411111,-70.19216667
70676,CBGDSW,SOUTHWEST END GREAT DIAMOND ISLAND,404062.51194057,4836810.56416148,43.67811111,-70.19019445
70677,CBHWNP,NAVY PIER,418446.55298877,4848718.11771121,43.78702778,-70.01358333
70678,CBMCMC,MILL CREEK,401566.90899967,4841472.38518317,43.71975,-70.222
70679,CBRYMT,ROYAL RIVER MOUTH,407753.36738362,4849928.36092123,43.79666667,-70.14666667
76071,CBHRHR,HARASEEKET RIVER,411578.16815411,4852437.43623482,43.81972083,-70.09954583
76073,CBANAN,FALMOUTH ANCHORAGE,402901.14132627,4842728.96108599,43.7312375,-70.20566667
76076,CBMBBH,BRUNSWICK MARE BROOK DRAINAGE,424162.08950919,4854574.05101681,43.840354,-69.943387
76079,CBFRMR,MIDDLE FORE RIVER,398479.02136177,4832707.92076277,43.6404375,-70.258675
76080,CBEEEE,EAST END BEACH,400301.87272975,4835927.97136297,43.66967083,-70.236675
76084,CBSPSP,S PORTLAND SPRING POINT,401120.78508984,4833798.68813855,43.6506125,-70.22612917
76091,CBJWPB,JEWEL ISLAND PUNCHBOWL,412240.30637495,4837567.13774647,43.68593333,-70.08888333
77495,CBPRMT,PRESUMPSCOT RIVER (MOUTH) ,399498.11894842,4838470.49079622,43.69245,-70.24711667
77497,CBMBMB,MIDDLE BAY (OUTER),415192.49370116,4846380.35643806,43.76561667,-70.05365
82251,CBMBBR,MAQUOIT BAY,414366.2615,4851141.6697,43.80838431,-70.06467398
82256,CBFRIR,INNER FORE RIVER,395752.1442,4833377.94,43.64609166,-70.29260427
82261,CBQHQH,QUAHOG BAY,425327.3799,4849546.6443,43.7952131,-69.92819231
82266,CBLNFT,LONG ISLAND,406422.399,4838411.008,43.69282,-70.161202
